Search Terms	Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
South Broadway, Restaurants	40.0																		40			
Best Restaurant	40.0						40															
Club Downtown	40.0																				40	
Yelp	40.0					40																
Happy Hour Brickell	40.0																					40
Most Romantic Restaurant	40.0													40								
Restaurants Near The Paramount Theater	40.0							40														
Federal Donuts	41.0											41										
Food Truck	41.0																	50			32	
Spinning Classes	41.0																					41
Restaurants Near Pantages Theater	41.0		41																			
Photography Classes	41.0																	41				
Best Steak	41.0																41					
Old Town Restaurants	41.0														41							
Safety Inspection	42.0															42						
Best Bbq	42.0									37										47		
Uniqlo	42.0								42													
Guy Fieri	42.0			42																		
Mexican Food	42.65	45	25	66	30	13	25	41	85	17	55	61	35	41	17	64	97		29	28	13	66
Booze Cruise	43.0															43						
Boiling Crab	43.0						43															
Top Lunch Spots	43.0				43																	
Ear Nose Throat Doctor	43.0																	43				
Dollar Theater	43.0																			43		
Chinatown	43.0																					43
Barbuzzo	43.0											43										
Hip Hop Dance Classes	43.0													43								
Professional Services	43.0			43																		
Best Steakhouses	43.0									43												
Food Trucks	43.1666666666667									66	94	27	32	24						16		
Cheap Wedding Venues	43.3333333333333							74										12		44		
Fun Restaurants	43.4			24					51		59									35		48
Best Bars	43.5									38					49							
Restaurants With An Water View	44.0																					44
"aarp" "hartford Auto Insurance"	44.0	44																				
Oil Change	44.0					44																
Best Night Club	44.0													44								
H&m Stores	44.0															44						
Best Clubs	44.0								66		22											
Night Clubs 18 And Over	44.0														33	66				33		
Midtown Happy Hour	44.0			44																		
Restaurants, Copley Square	44.0								44													
Call Girls	44.0			81							15											36
Indian Food	44.0	35	42	46	28	22	31	38	47	36		52	40	63	39		51		58	68	52	
Halloween Costume Stores	44.3333333333333			41			86											6				
True Food	45.0																		45			
Golden Corral Buffet	45.0					45																
Best Coffee Shops	45.0				45																	
Underbelly	45.0													45								
Perch	45.0		45																			
Upscale Black Hair Salons	45.0																45					
Restaurant 30th St Station	45.0											45										
Indian Clothing Stores	46.0													46								
Sports Bar	46.0	46																				
Dance Classes For Adults	46.0																					46
Smith Brothers Appliance Repair	46.0																	46				
Best All You Can Eat Sushi	47.0										47											
Gun Shop	47.0		68															26				
Low Income Apartments	47.0						47															
Tokoname	47.0															47						
Screen Door	47.0												47									
Date Ideas	47.0																		47			
Dog Boarding	47.0									47												
Chinese Food Delivery	47.5																			75	20	
Waikiki Restaurants	48.0															48						
Sunday Brunch	48.3333333333333									42				55			84	4		49		56
Best Places To Eat	48.6			84		21	64		26												48	
Restaurants, Downtown	49.0																				49	
Best Clam Chowder Restaurant	49.0								49													
Things To Do With Kids	49.0										49											
Amada	49.0											49										
Long Term Airport Parking	49.0						49															
Best Women's Clothing Stores	49.0																					49
Unique Restaurants	49.0																	49				
Avec	49.0				49																	
Internet Providers	49.0									49												
