Yelp URL Slug			san-francisco	la	nyc	chicago	san-diego	san-jose	seattle	boston	austin	las-vegas	philadelphia	portland	houston	sacramento	honolulu	atlanta	oc	denver	dallas	phoenix	miami	minneapolis	new-orleans	st-louis	baltimore	san-antonio-tx	orlando-fl	santa-barbara-ca	santa-cruz-ca-us	san-gabriel-ca	pittsburgh	fort-lauderdale-fl	detroit	charlotte-nc	nashville	columbus-oh	salt-lake-city	providence	milwaukee	kansas-city-mo	indianapolis-in	cincinnati-oh	tucson-az	ann-arbor-mi	fort-worth	raleigh-nc	virginia-beach-va-us	richmond	cleveland	colorado-springs-co	albuquerque	madison	santa-clarita-ca	reno-nv-us	san-fernando-valley-ca	fresno-ca	tacoma-wa-us	jax	ontario-ca	stockton-ca	oklahoma-city	bakersfield-ca	louisville	charleston-sc	vancouver-wa	eugene-or	portland-me	buffalo	sonoma-ca-us	modesto-ca-us	memphis	grand-rapids-mi	omaha-ne-us	worcester-ma	rochester-ny-us	gainesville-fl	savannah-ga	albany-ny-us	birmingham-al	asheville-nc	hartford	wilmington-de	spokane-wa	westchester-county-ny-us	anchorage-ak	boise-id	baton-rouge-la	el-paso-tx	des-moines-ia	syracuse-ny-us	bloomington-in	columbia-sc	little-rock-ar	lexington-ky	naples-fl	tallahassee-fl-us	knoxville-tn	harrisburg-pa	salem-or-us	greenville-sc	fort-myers-fl-us	dayton-oh	lincoln-ne	corpus-christi-tx	chattanooga-tn	tulsa-ok	wichita-ks	springfield-mo	pensacola-fl-us	south-bend-in-us	allentown-pa	huntsville-al	london-on-ca	athens-ga	daytona-beach-fl	springfield-ma	east-lansing-mi	kalamazoo-mi	fairfield-ct	cedar-rapids-ia	toledo-oh-us	rockford-il	fort-wayne-in	lubbock-tx	columbia-mo	akron-oh-us	augusta-ga	columbus-ga	green-bay-wi	montgomery-al	roanoke-va	sioux-falls-sd	ventura-county-ca	appleton-wi	shreveport-la	palm-beach-fl	mobile-al-us	charleston-wv	amarillo-tx	jackson-ms	billings-mt	lakeland-fl	evansville-in	san-angelo-tx	ogden-ut-us	sudbury-ma	beaumont-tx	abilene-tx-us	ocala-fl-us	macon-ga	erie-pa	midland-tx	topeka-ks	youngstown-oh	tampa-bay-fl
Hotels	134	42.9328358208955	31	51	33	83	30		51	100	76	26		28		52	26	90			96	60	24		14	69	47	40	24	3	13		80	37	48	73	31	68	63		46	51	56	60	22		86		64	61	52	70	33	70	53	21		24		57	37	34	46	22	27	15	61	56	15	54	8	58	25	73	69		44	68	16	31	40	11		78	46	16	37	34	43	16	36	41	77	37	11	36	20		37	34	32	75	54	56	64	50	17	48	39	61	50		58	63		33	43	44	31	37		38	49	23	32	29	33	49	21	59	22	27	48			30	32	11	38	45	26	17	21	41	26	68	18		28	45	52	52	69	22	67	46	12
Delivery	133	35.1278195488722	26	14	87	26	28	84	18	48	14		25	26	33	51		35		10	32	27	12	19	18	13	20	30	60	80	5		36	25	41	17	50	18	15	22	24	30	14	32	5	35	58	66	9	7	21	37	18	13	47	77			44	20	76	63	68	60	33	6	37	33	51	30			44	27	12	14	11	32	41	23	14	8		65	55		1	33	3	10	5	32	14	33	10	15	56	1	58	54	90	59	61	45		61	56	62	47	7	7		94	35	49	12	15	42	10	6	46	3	63	43		2	20	13	73	32	78	48	27			5		89	73	60	47	77	29	67	85	6	3	27			84		37	27			
Mexican Food	132	46.6969696969697	45	25	66	30	13	25	41	85	17	55	61	35	41	17	64	97		29	28	13	66	72		67	36	18	45	22	25		94	55		85	84	86	40	73	52	46	49	64	13	28	21	40	24	53	59	12	20	15	13	41	61	32	45	74	10	22	41	4	96		33	19	54	55	19	22		38	36	22	67	24			57	22			58	21	46	30	65	12	19	31		61	75		32		46	75	93	41	53	48	99	11	84	25	32	71	65		48	89		65	27	83	26	33	14	55	68	70	36	22	62	73	56		58	99				42	28		76		27		73	55	66	11	23		34	29	93	63	100	38	63	42	66
Bar	125	57.632	11	17	9	12	38	76	23	15	57		20	24	49	77	86	49		31	60	58		52	43	41	35		83				32	91	77	67	73	33	68	43	45	71	58	57		55	87	59	74	52	56	83	80	40	93	76	31	97	69	68	48		66	65	41	59		95	31	59			80	65	84	42	42	39	84	50	59	54		39	54	12	67	64			73	95	88	63	96	49	97	64	63	58	34	62	91	39	92	35	59	24	86	100	61		45	25		62	76	37	41	49	37	21	43		93	67	94	39	52	55	53	74				82	45		33		86	26	88		53	51	88	40		55		99			66		
Brunch	125	45.12	8	12	5	8	18	42	14	6	13	78	8	15	19	24	73	17	18	16	15	56	23	32	15	19	13	74	42	19	45	89	20	40	34	32	33	21	53	17	20	59	42	43	62	27	48	19	78	15	29	88	55	16		73	63		83	71	29		40		36	24	84	68	27	33	21		31	79	76	35	28	46	18	37	48	19		35	75	4			53		74	44	50	35	71	53	63	79	29	56	58	35		53		79	37	61			73		21			14	89	30	46		21		83	80	97	93	40	98	31	78		25	95			66	95	88	94			65		59			49	23		94			60		65	58	10
Italian Restaurant	124	50.8064516129032	19	24	17	20	23	23	33	24	54	42	19	34	42	40	40	92	33	48	56	26	54			35	31	54	47	24	47		69	41	74	64		58	38	23	64		43	66	25		54	35	57	50	47	47	79	51	45	38	21	40	78	91	31	81	80	72	81	71	51	60	58	39	93	31		59	74	43	43		60	43	34	78		32	42	9		62		38	42	33	80	86			28	60		25	39	22	29	52	88	56	43	68	71	54			63	94		99	35	38	88	59	30	36	45	69				62	86	82	66	65	87				34	43	54	51	55	83					36	92				74	49	31		33	21
Cheap Dinner	121	62.0661157024793	64	60	25	37	61		48	43	71	91	35	44	66	83	45	46		59		53	79	78	48	59	66	75	53	100	66		62	95		74	66	25	69	42	85	67	48	44	47	61	97	63	86	47	60	69	60	49		70			91	72	86	54		52	55	58		38	33	77		62	93	43	52	32	49	38	44	30		95			60		94	79	39		46	63	35	47	85	65	58	36	97	81	67	100	85	50	69	74	65		58	27				39	45	61		96	33	46	48	87	53		85	46	67				81	78	61			75	35	70	50	90	82	49	89	71			57		86			75	45	76	59		
Breakfast Restaurants	119	23.4789915966387		98			48			82		43		66		81	38	76		49		46		76	49	62		21	15	44	54		12	32	51	31	21	16	18	24	40	13	12	17	12	45	29	23	12	17	18	10	26	9	44	60		9	22	6	14	26	2	13	46	16		20	73	6	29	18	20	5	16	10	3	4	5	26	19	3		34	4		14	4	6	6	7	3	3	3	3	5	6	28			13	3	83	4	1	5	4	4	6		4		20	3		1	57	3	2	9	3		4	3		4	3	24	5	58	4	3	7			4		56	5		4		5			17	12	15	82		58				70	49	
Construction	118	26.1101694915254													65	54		69			76	59	53	84		70	88	36	48				41	34	71	33	98	65	39		86	28	25	37	45		27	37	52	38	25	22	65	57				19	25	11		15	7	21	14	79				27		49	13	31	23	48	21	37	43	14	4	69		10	16		16	11	9	5	9	22	49	5	8	10	21	22	7	14	48	11	13	6	7	7	19	6	8	12	12		13	5		38	10	11	90	29	20	9	12	12	3	8	18	5	10	17	10	4	3			15	3	13	4	3	8	4	9	5	3	10	4	48	5		5	4	4	17	4	6	
Electrician	117	34.8974358974359						67			90				98	67				95		76				87		70	93				63	63	86	48		83	55		69	36	38	35	54		46	56	67	65	53	23	27	82				29	50	19		45	10	46	20	97	62			23		86	16	39	29	61	24	58	86	19	8	93		18	28		41	22	13	3	10	28	86	12	17	13	36	32	16	19	46	21	30	9	12	10	21	9	15	31	20		19	7		41	20	13	87	36	68	13	17	21	4	11	39	8	17	7	23	5	4			38	5	55	8	6	9	5	18	10	4	24	7	30	9	16	14	7	7	7	7	7	
