Yelp URL Slug			san-francisco	la	nyc	chicago	san-diego	san-jose	seattle	boston	austin	las-vegas	philadelphia	portland	houston	sacramento	honolulu	atlanta	oc	denver	dallas	phoenix	miami
Search Terms	Popularity	Average Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Waikiki Restaurants	1	48.0															48						
Furniture Stores	1	99.0						99															
Sunda	1	81.0				81																	
Food Trucks In	1	40.0																	40				
Eyelash Extensions	1	76.0															76						
Kids Party Venues	1	100.0						100															
Animal	1	66.0		66																			
Indoor Basketball Court	1	95.0																					95
H Mart	1	37.0					37																
Top Places To Eat	1	35.0															35						
Hot Pot	1	82.0						82															
Royal India Buffet	1	74.0									74												
Melrose Ave Shops	1	90.0		90																			
Prime 112	1	82.0																					82
Topless Bars	1	89.0										89											
Vintage Clothing	1	95.0																				95	
Pok Pok	1	21.0												21									
Restaurant Row	1	15.0															15						
7th Street Restaurants	1	73.0																				73	
Shake Shack	1	69.0			69																		
Barley Swine	1	81.0									81												
Publican	1	57.0				57																	
Serious Pie	1	67.0							67														
Bars With Live Music	1	11.0																11					
Night Clubs Downtown	1	75.0				75																	
Town	1	84.0															84						
The House	1	93.0	93																				
Best Place To Watch Giants Game	1	92.0	92																				
Waterfall Hike	1	34.0																	34				
T Shirt Printing	1	97.0														97							
Dance Classes For Kids	1	99.0																				99	
North Park Mall Restaurants	1	50.0																			50		
Cougar Bar	1	66.0																	66				
Paesanos	1	94.0														94							
Top Lunch Spots	1	43.0				43																	
Stand Up Paddle Board	1	51.0															51						
Shellac Manicure	1	99.0							99														
Jobs Hiring	1	98.0																					98
Parking	1	85.0	85																				
Limon	1	94.0	94																				
Yolo	1	84.0											84										
Best Night Club	1	44.0													44								
Medical Marijuana Doctors	1	97.0																		97			
Brunch Midtown	1	99.0			99																		
Cheap Wedding Locations	1	93.0					93																
Safety Inspection	1	42.0															42						
Empire	1	22.0								22													
Perch	1	45.0		45																			
Sushi Ota	1	92.0					92																
Seaport Restaurants	1	19.0								19													
Steakhouses	1	53.0										53											
Voodoo Donuts	1	69.0												69									
Purple Pig	1	34.0				34																	
Live Music Tonight	1	69.0					69																
Delivery Food	1	78.0																		78			
Au Cheval	1	36.0				36																	
Handbag Repair	1	99.0		99																			
Italian Byob	1	82.0											82										
Latin Clubs	1	96.0																96					
Restaurants Near Perimeter Mall	1	10.0																10					
Best Spa	1	35.0										35											
Best Place To Celebrate Birthdays	1	27.0																					27
Gilt Bar	1	60.0				60																	
Parking Downtown	1	28.0							28														
Antique Stores	1	67.0																				67	
Restaurants Near Grand Central	1	82.0			82																		
Midtown Happy Hour	1	44.0			44																		
Restaurants With Private Dining Rooms	1	30.0																	30				
Unique Fun Dining Experiences	1	63.0																		63			
Hip Hop Dance Classes	1	43.0													43								
Lobster	1	68.0								68													
Plate Lunch	1	78.0															78						
